=== MEETING ATTENDEES ===
Total Attendees: 2
Meeting Start: 2026. 6. 26. 오후 1:01:22

Attendee List:
-  
- Gichan Lee

=== TRANSCRIPT ===
[오후 1:01:24]  : 라이브캡션.
[오후 1:25:20]  : 아니 그게 뭐냐? 저번 일기예보.
[오후 1:25:26]  : 엄청 많은데요, 만화는 엄청 많은 건데.
[오후 1:25:33]  : 예 몇 년간 살다가 미국에서 몇 년 일하다가.
[오후 1:25:36]  : 다시 들어오고.
[오후 1:25:44]  : 40 안 하면 조금 힘든데.
[오후 1:25:49]  : 30, 하우스 37 또는.
[오후 1:25:51]  : 맞아요? 맞아요 예.
[오후 1:25:57]  : 한국 현실에 그게 안 맞는가 보네?
[오후 1:26:00]  : 맞습니다.
[오후 1:26:09]  : 그 제가 제 와이프를 스물다섯에 만났거든요. 그래서 같이 잘 지내보려고 막 이것저것 하다 보니까 서로 좀 늦었어요.
[오후 1:26:12]  : 저희가 같이 베트남도 가고 이렇게 하는가?
[오후 1:26:26]  : 미국에서는 좀 다르거든 그.
[오후 1:26:27]  : 어떤 게요?
[오후 1:26:31]  : 나 같은 경우도.
[오후 1:26:39]  : 졸업하자마자 직장 잡고 계속 직장 잡고 나왔거든요.
[오후 1:26:49]  : 일도 여러 군데서 많이 해봤고.
[오후 1:26:50] Gichan Lee: 예, 맞습니다. 근데 예 지금.
[오후 1:26:57]  : 지금 좀 이 경우 이 경우나 일 기 있는 그분들하고 비슷하죠. 예, 맞습니다.
[오후 1:26:59]  : 비슷해.
[오후 1:27:04]  : 예, 맞습니다. 그래서 저는 지금 일을 하고 있어서 너무 좋습니다.
[오후 1:27:11]  : 한국 현실을 알아볼라.
[오후 1:27:14]  : 한국현실에서는 이거 엄청 특이합니다.
[오후 1:27:17]  : 네, 한국에서는 특이해요.
[오후 1:27:26]  : 아니.
[오후 1:27:36]  : 제1 그 중요한 게 뭐냐면 미국이란 나라를 보면.
[오후 1:27:40]  : 이런 것도 다 중요하죠, 미국의 나라는.
[오후 1:27:42]  : 제1 중요한 게 경험입니다.
[오후 1:27:45]  : 그렇죠 네.
[오후 1:27:51]  : 나도 처음에는?
[오후 1:27:55]  : 졸업해 가지고 이게 처음이에요.
[오후 1:28:00]  : 그 얘기하는 걸 알고 있어?
[오후 1:28:00]  : 아니, 그거 가지고 그 카메라 보고.
[오후 1:28:10]  : 예 할 때는 그.
[오후 1:28:12]  : 처음에도 예.
[오후 1:28:16]  : 미국의 돈을 보면?
[오후 1:28:22]  : 삼 주 직접 어 학교를 졸업하자마자.
[오후 1:28:23] Gichan Lee: 예.
[오후 1:28:26]  : 직장을 잡는 거 제가 준비했습니다.
[오후 1:28:31]  : 예 직장 없으면 맞습니다.
[오후 1:28:32] Gichan Lee: 예, 그러니까 그게 좀 좀 예.
[오후 1:28:41]  : 이렇게 큰아시아에 들어가잖아? 맞습니다. 제가 나라도 마이크로소프트나.
[오후 1:28:42]  : 한번 경험하고 녹으면.
[오후 1:28:52]  : 네, 그때는 직장에 떨어지는 날이였죠. 맞습니다. 맞습니다. 누구나 다 불러줍니다. 맞습니다. 맞습니다. 예, 그러다가 나이트는 프로도 안 당합니다.
[오후 1:29:02]  : 아직 일단은 지쳐가지고 그 창업하거든요. 일 이 너무 많아서 일 이 너무 배울 게 없고.
[오후 1:29:02]  : 왜냐하면 그.
[오후 1:29:06]  : 회사 다니면 너무 루틴 된 거네요.
[오후 1:29:09]  : 지치고.
[오후 1:29:11]  : 뭐 공급은 좋은데 뭐 그렇게?
[오후 1:29:18]  : 나이가 들면 언젠가는 그 일도 못하니까. 그리고 다 이렇게 따져보는 또 뭐?
[오후 1:29:27]  : 일하는 거 보면 그 사람이 그 사장이 그 지금 할 수 있는 일이라 할 수 있다.
[오후 1:29:32]  : 그 네 네 그래서 그때는 뭐 너무 근데 근데 지금 일 기 그분하고 지금.
[오후 1:29:35]  : 이 같은 경우를 보면.
[오후 1:29:40]  : 이 완전히 좀 다른 거야?
[오후 1:29:40]  : 어떻게 다른 아 맞아요, 예 맞아요?
[오후 1:29:45]  : 받은 전철이 조급하다마자 바른 전철이.
[오후 1:29:48]  : 한도 많아.
[오후 1:29:49]  : 네 마음대로.
[오후 1:29:56]  : 이 과연 딴 사람 눈에서.
[오후 1:29:59]  : 먹히는지 네 맞습니다. 무슨 말이에요. 왜냐하면.
[오후 1:29:59]  : 네.
[오후 1:30:03]  : 내가 볼 때는 내 경험이잖아 볼 때는?
[오후 1:30:06]  : 이렇게 한 회사에서 일하고.
[오후 1:30:12]  : 노고는 땅에서 내 링크디로 곧 아꼈지만 직장이 12 갠가 열쇠.
[오후 1:30:15]  : 그러니까.
[오후 1:30:20]  : 이렇게 하면서 일하고 다른 사람 가면?
[오후 1:30:30]  : 그지 고구마 계속 쌓이고 나니까 나중에는 그냥 가만히 있어도 불러줘? 아, 맞습니다.
[오후 1:30:38]  : 예 헤드 헤턴트들이 가만히 있어도 그냥 불러줘 이래라고 어쨋든 지쳐가지고 나오지 말라.
[오후 1:30:38] Gichan Lee: 돈보다는 나중에 우리가 손절을 이탈을 해야 되니까.
[오후 1:30:40]  : 맞습니다.
[오후 1:30:43]  : 네 그래서.
[오후 1:30:45]  : 나의 교포도 그렇게 싸우고.
[오후 1:30:52]  : 내 자식에도 가르치라고?
[오후 1:30:55]  : 그 뭐냐 내 아들에게도.
[오후 1:31:03]  : 니가 내 밑에서 일할 일하고 그러니까 저는 내미스 일 아닌데?
[오후 1:31:07]  : 왜요?
[오후 1:31:11]  : 그게 맞는 말이니까 왜냐면 그물에서 경험을 해야 돼요.
[오후 1:31:17]  : 그리고 언제 자기가 원하면 나중에 결국 다 쌓고 언제 막 들어오면 되니까.
[오후 1:31:23]  : 그러니까 그래서 지금 그래서 지금 미국 버지니아 가서 일하고 있거든요. 아 동부에서 일하고 이제 그러니까.
[오후 1:31:30]  : 그 나도 그거는 그거는 찬성이거든. 맞습니다. 예 큰 회사 다 일해보고 나서는 맞습니다. 아직.
[오후 1:31:34]  : 예.
[오후 1:31:38]  : 그래서 그래서 그걸 그것을 생각을 하는 거라고 아니 하는 거 많아 하는 건 많은데 아니 이게 실속이 있는지?
[오후 1:31:41]  : 맞습니다.
[오후 1:31:42] Gichan Lee: 예, 그냥 그대로 알아보고 합니다.
[오후 1:31:52]  : 결국에는 실속 있는 남이 알아줘서 결국에는 분리해드리고 남이 알아도 스스로 쌓아서 나갈 수 있는지?
[오후 1:32:01]  : 그리고 과연 이게 작업을 한다든가 이 작업을 이게 빚을 다 될 수 있는지, 또 내가 그 거기에 대해서 이 말을 했는데.
[오후 1:32:04]  : 네, 사실 이 공간이.
[오후 1:32:09]  : 텍스트 그리고 텍스턴 어 그 뭐죠? 처음 듣는데.
[오후 1:32:20]  : 어, 이게 뭔지 한번 보고 있습니다.
[오후 1:32:27]  : 이게 뭐지?
[오후 1:32:35]  : 다 그 구분해서 그래요.
[오후 1:32:38]  : 이거 이거 아니면?
[오후 1:32:42]  : 텍스트.
[오후 1:32:43]  : 이거예요.
[오후 1:32:44] Gichan Lee: 아.
[오후 1:32:47]  : 이거만 했습니다.
[오후 1:33:01]  : 따라 파는 거 아니야? 텍스타.
[오후 1:33:06]  : 미국에서 미국에서 굉장히 큰 건데.
[오후 1:33:08]  : 여기서 이 같은 이런 프로그램 있잖아.
[오후 1:33:18]  : 이런 거 예 에이전트 에이알로 만들어가지고 예 어 만들어가지고 마이크로소프나 이런 아마존을 팔았어.
[오후 1:33:20]  : 아니, 그 공간이었어.
[오후 1:33:26]  : 여기 유니버스도 맛있던 거 아니냐?
[오후 1:33:34]  : 어 유니버스 워싱턴에서 네가 찍을 때 사이언스 해가지고 에이전트 에이 써가지고 이렇게 짜막자막한 풀고 만들어 가지고 이걸 예 마이크로소프트나 할 수가 있군요?
[오후 1:33:41]  : 회사 자체를 팔아먹는다 엑시트 그렇지?
[오후 1:33:43]  : 엑셀 그렇게도 할 수 있군요?
[오후 1:33:46]  : 222 이게 그거였어? 그리고 이 공간이 그거였어? 왜냐하면 유니버스 학생들 나와가지고.
[오후 1:34:06]  : 아 니같이 이렇게 컴퓨터 사이언스야 애들이나 컴퓨러 좀 하는 애들이 뭐 그렇게 짧게 프로그램을 만들어가지고 이걸 어떻게 쓴다 해가지고. 그래서 내가 만들어가지고 마이크로소프트 연결시켜가고 여기 있는 사람들이 그거 뭐냐?
[오후 1:34:08]  : 여기 있는 그 어?
[오후 1:34:11]  : 무슨 돈 있는 놈들 인베스트 같은 놈들이 있고.
[오후 1:34:14]  : 이 번 들어가서 그걸 마이크로소프트만 팔았잖아.
[오후 1:34:27]  : 한국에서는 이런 일 거의 없어요. 미국에서는 그렇게 그래서 그래서 내가 내한테 그 말하는 거라고 니가 만든 거지? 프로그램 다 좋은데 텍스타에서 그런 거 했어.
[오후 1:34:29]  : 근데 그 텍스가 망했어.
[오후 1:34:30]  : 그래서 이게 바꼈어 이런 거야.
[오후 1:34:39]  : 나는 이 사람들이 텍사스 꽉 차서 왜냐면 미더스 마실 때 애들이 커피를 쌓여서 이렇게 공부해가지고 나가지고 여기서 아 저같이 이렇게 만들어서 만들어가서 이걸 팔았다고.
[오후 1:34:44]  : 그런 그 이 3년 전에 거기 경쟁했다고?
[오후 1:34:48]  : 저도 몰랐습니다. 어, 그런 게 시설이 많겠습니다.
[오후 1:34:52]  : 음.
[오후 1:34:56]  : 망한 이유는 더 이상 마이크로소프트가 안 사서 그런 게 아닐까요?
[오후 1:34:58]  : 에이전트.
[오후 1:35:00]  : 에이 그 그때 당시가 십 플러스 플라스틱 사람들 많이 보유했잖아.
[오후 1:35:08]  : 애들 고용한 것보다는 그냥 프로그램을 만들어서 다 사버렸어.
[오후 1:35:10]  : 근데 지금 에이전트 에이 그렇게 할 필요가 없어요. 자기들이 그냥 만들겠다.
[오후 1:35:17]  : 마이크로소프트 직원이 만든 마이크로소프트.
[오후 1:35:17] Gichan Lee: 이제 이제 이제 직원이 만드는 거?
[오후 1:35:25]  : 없어 에이전트 얘가 다 만들려니까 잠깐 사람들이 다 필요 없다 이거지?
[오후 1:35:34]  : 그러니까 그러니까 네가 만든 이건 아이디어는 이거 그런 거 없어서 필요로 해요.
[오후 1:35:34] Gichan Lee: 왜냐하면 간단하게 만들어야 됩니다. 제가 뭐냐면.
[오후 1:35:35]  : 예.
[오후 1:35:38]  : 이게 니가 말했듯이.
[오후 1:35:42]  : 웹에는 올라왔던 게 사람들이 쓴다고 했잖아요?
[오후 1:35:43]  : 여기서.
[오후 1:35:47]  : 그런데 그게 결국에는 돕는 안되겠다.
[오후 1:35:51]  : 그렇지 돈으로 된든지 아니면 이.
[오후 1:35:56]  : 미국 같은 거는 텍스타를 통해서 그걸?
[오후 1:36:05]  : 마이크로소프트라든지 팔아버렸습니다. 그런데 그게 함부로 갔어. 이 3년 전에 거기 그게 화됐어?
[오후 1:36:10]  : 근데 이제는 에이전트 에이가 대신하니까 안 사는 거네요. 안 사도 인제 한도.
[오후 1:36:19]  : 그게 더 이상 사람들이 거기 거기 컴퍼니 엑스 핫 밸류에이션이 안 된다는 거지?
[오후 1:36:24]  : 그래서 그때 투자가들이 투자가 또 큰 투자가 아니고 그냥 시디 판매하는 거거든요. 엔젤리버스 그런 사람들도 주고.
[오후 1:36:20] Gichan Lee: 음.
[오후 1:36:27]  : 이렇게 했는데?
[오후 1:36:31]  : 마이크로소프트 근데 관심 없고 아무도 안 사니까.
[오후 1:36:34]  : 이게 텍스트 바이러스야 지금 프로그램.
[오후 1:36:39]  : 그렇군요.
[오후 1:36:42]  : 그러니까 시대가 시대가 바뀌었어요.
[오후 1:36:42] Gichan Lee: 시대가 바뀌네 시대가 나한테 말을 뜨는구나.
[오후 1:36:47]  : 예.
[오후 1:36:55]  : 그러니까 제가 했던 일들이 한때 엄청 트렌드였긴 했다.
[오후 1:36:57]  : 여기서 했었으면 텍스트 이러고 있어요. 한국에서 텍사스.
[오후 1:36:58]  : 로케이션 봐봐.
[오후 1:37:02]  : 지금 뭐 한국 어 아시아에 있다.
[오후 1:37:05]  : 아 저 저 일본만 있습니다. 제 팬만 지금은.
[오후 1:37:08]  : 없어진 것 같아요.
[오후 1:37:18]  : 예예.
[오후 1:37:24]  : 탭스타 그 니가 만약에 한 한국에 있었으면 이 탭스닥을 알았으면.
[오후 1:37:27]  : 아, 맞네요 예.
[오후 1:37:30]  : 그러면 또 타이밍 문제긴 한데 아 아쉽네요.
[오후 1:37:36]  : 한국 한번 해보겠습니다.
[오후 1:37:39]  : 아 예, 예전에.
[오후 1:37:42]  : 예 이천이십년에 있었습니다.
[오후 1:37:50]  : 예 예 망했다면서 여기 다 예 왜냐면 그 그 비즈니스.
[오후 1:37:52]  : 거기 성립이 안 돼서?
[오후 1:38:05]  : 우리가 막 힘들어? 왜냐하면 그래서 이게 공간이 사람은 꽉 찼다고. 그러니까 이제 만들어서 팔려고. 왜냐하면 그 엔진 그런 분이고 아주 돈 만들라고.
[오후 1:38:15]  : 아 만들어가면서 해가지고 큰 회사들이 파는 거 있잖아.
[오후 1:38:16] Gichan Lee: 학생들, 학생들은 뭐 어 일감에서도 조금?
[오후 1:38:24]  : 그게 그렇게 순환된 이 공간이 이 공간이었다고 그리고 니가 하는 게 그거였다.
[오후 1:38:29]  : 그래서 그래서 거기서도 할가서 그런 부분이 많았다고 이 지금 다 죽어서.
[오후 1:38:36]  : 왜냐면 더 이상 그런 걸 만들어서 팔 데가 없어.
[오후 1:38:37]  : 맞습니다.
[오후 1:38:39]  : 그리고 그걸 뭐 웹에다가 그리고 공개해가지고 공짜로 주면 수상을 쓰지.
[오후 1:38:42]  : 예 마스크 도움이 안 되면 도움이 안 됩니다.
[오후 1:38:45]  : 맞습니다.
[오후 1:38:47]  : 돈이 될 때도 액세스해야 되고 맞습니다.
[오후 1:38:57]  : 그런데 이걸 위해서 돈이 되게 하려면 어떻게 하면 사람들이 돈을 낼까를 이제 생각하는 거죠. 한 달에 5000 원으로는 될까? 예, 맞습니다. 예.
[오후 1:39:00]  : 그 뒤에 사실상 그게 굉장히 힘들어요.
[오후 1:39:08]  : 굉장히 힘들기 때문에 일단 회사에 들어가서 돈을 받으면서 이거는 조금 조금씩 하는 거 이제 토요일 일요일에만.
[오후 1:39:18]  : 세 방식이 제1 좋은 방식이 뭐죠? 텍스가 들어가서 지원해 가지고 텍스트가 있었습니다.
[오후 1:39:21]  : 그런데 텍스트가 많이 나니까 클로즈 회사 그 전 세계 다 이제 야.
[오후 1:39:24]  : 오 예.
[오후 1:39:32]  : 근데 저는 이걸 이걸로 뭔가 창업을 하기보다는 회사에 들어가고 싶은 게 더 큽니다.
[오후 1:39:32] Gichan Lee: 아직 경험을 더 배우고 싶은데요.
[오후 1:39:35]  : 그렇지?
[오후 1:39:37]  : 내가 그래, 내가 니 포트폴리오를 보면 어?
[오후 1:39:41]  : 경험이.
[오후 1:39:44]  : 그래서 제가 한번?
[오후 1:39:52]  : 일 기에서 그분도 그렇지만 41살, 37 살에.
[오후 1:39:56]  : 얼마만큼 이걸 해야 되는지?
[오후 1:40:04]  : 그래서 그 부분도 싹 그 일기에 그 사람도 후각하고 만 하난데 얼마만큼 해가 지면 어?
[오후 1:40:07]  : 취업을 할 수 있다.
[오후 1:40:11]  : 그래가지고 난 예 그래가지고 56 대가 그때가 돼.
[오후 1:40:15]  : 결국에는 취업에 한두 개 해가지고 끝에는 이미 다 늦었는데?
[오후 1:40:16]  : 맞아요 예?
[오후 1:40:25]  : 근데 저는 지금 지금 그래서 이제 취업을 해서 일을 하고 있는 중인데 그럼 이 회사에 계속 있으면 안 돼요? 있다가?
[오후 1:40:29]  : 이게 중요하지 이게 맞습니다. 예.
[오후 1:40:34]  : 경험보다 중요한 건 없습니다. 맞습니다.
[오후 1:40:41]  : 그래서 저는 이 회사 나갈 생각 없습니다. 그러니까 더 좋은 데가 이제 연락이 오면 그때 고민하지, 지금 이 회사 계속 다닐 겁니다.
[오후 1:40:44]  : 작업은 내가 몇 겁니다.
[오후 1:40:45]  : 맞습니다. 예.
[오후 1:40:49]  : 내가 텍스닥 그걸 깠으면?
[오후 1:40:57]  : 예, 그런데 토요일 일요일만 하면 안 되나요? 아니, 그 아 그거는 합이 그렇습니다.
[오후 1:41:03]  : 예 합의를 합의를 근데 아 그게 중요한 것은 지금 그 풀타임은 어디 회사에서 일을 하고 쌓고.
[오후 1:41:06]  : 맞습니다.
[오후 1:41:09]  : 예 합의로는 저는 계속 한번 종목 조금씩 도전해보고 싶어요.
[오후 1:41:11]  : 그렇지?
[오후 1:41:17]  : 왜냐하면 니 만약에 니가 이걸 갖고 텍스파이어가면 텍스트 같은 월터널에서 나가.
[오후 1:41:19]  : 니가 하고 싶은 거?
[오후 1:41:23]  : 근데 지금이 그게?
[오후 1:41:28]  : 시대가 지나갔으니까 그 사람들은 니가 한 걸 그거 해가지고 옷들.
[오후 1:41:38]  : 내가 들어봤으면 어떤 사람이 뭐 10만 부씩 받아 가지고 씨드 받는 받아가지고 만들어 가지고 어 이 엔지니어스 그래가지고 거기서 스톱이 돼있어 여기 근처에.
[오후 1:41:46]  : 그 사람들이 내가 뭐 마이크로소프나 마이크로소프트스 이런 나와 사람이 사람 나와가지고 우리가 이게 이런 물건이 필요하다.
[오후 1:41:54]  : 시켜가지고 엔진이 돼서 돈 주가를 만들어가지고 만들어지면 그거 몇 밀리언에 팔아 버렸고 막.
[오후 1:41:57]  : 그래가 돈벌이 회사도 많아?
[오후 1:42:03]  : 근데 마이크로소프트가 왜 그렇게 비싼 돈으로 샀을까요? 마이크로소프트.
[오후 1:42:05]  : 자기 자체는 안 만들어?
[오후 1:42:09]  : 그 사람들은 그 그런 물건 안 받더라고요.
[오후 1:42:14]  : 왜 거기도? 근데 그 소프트웨어 개발자가 있잖아요? 디벨럽 안 해.
[오후 1:42:17]  : 아.
[오후 1:42:21]  : 그러면 그 뭐 하는 거죠? 매니스먼트만 하는 건가요?
[오후 1:42:26]  : 아 큰 회사는 당연히 거짓말했어요.
[오후 1:42:30]  : 음.
[오후 1:42:38]  : 그럼 지금은 어떻게 마이크로소프트가 새로운 프로그램을 어떻게 만 자기들이 만들고 있나요? 지금도 지금 지금은 그러니까 옛날에는 그 옛날에도 사람 다 잡아넣었어요.
[오후 1:42:49]  : 그래서 지금 여기서 아마존 마이크로소프트 내역 엄청난 값이 그래서 커피로 사이언스가 안 돼.
[오후 1:42:52]  : 경험 없이는 안 돼.
[오후 1:42:56]  : 컴퓨팅을 사이즈가 제1 좋은 게 뭐냐면.
[오후 1:42:59]  : 네가 말했듯이 포위 포케이션.
[오후 1:43:03]  : 맞아요?
[오후 1:43:06]  : 파이브 한글 그걸 다시 리뷰해가지고 맞는지 안 맞는지?
[오후 1:43:07]  : 저희는 그런 걸 볼 수 있습니다, 예.
[오후 1:43:14]  : 그게 컴퓨터 한 사람이 써요?
[오후 1:43:16]  : 써요 비기닝 한 그 파이브 코닝한 그거는 안됩니다. 그러니까 누구나 할 수 있어요.
[오후 1:43:24]  : 비기는 없어 그니까 그걸 버리버듯이 하사하는 제1 중요해요.
[오후 1:43:30]  : 제1 나중에는 제1 그 그걸 받는다는 말이지 누가 그게 그 프로그램을 버릴 수 없게 제가 해야 되나요? 아, 맞습니다. 예.
[오후 1:43:34]  : 그럼 제가 지금 하고 있는 일 이 조금?
[오후 1:43:38]  : 그러니까 본인 교체를 하면 되겠는데 그렇지 쪽으로 나가는 거라고.
[오후 1:43:44]  : 예, 그러니까 오토메이션 한 걸 제가 잘 된다는 걸 증명해야 돼요. 증명하고.
[오후 1:43:46] Gichan Lee: 예.
[오후 1:43:52]  : 누가봐요 그거 다시 봤는지 안맞는지 맞습니다. 그쪽으로 하면 돼.
[오후 1:43:57]  : 예, 맞습니다. 지금 하는 일 계속 잘 하긴 해보겠습니다.
[오후 1:43:59]  : 합의도 나오고 예.
[오후 1:44:03]  : 지금 하나 지탱하고 맞습니다.
[오후 1:44:07]  : 맞습니다. 아 돈은 많이 줍니다.
[오후 1:44:12]  : 그런 식으로 지탱하고 있어요.
[오후 1:44:19]  : 이걸 누가 제1 본인소개 좀 잘 하는지 그게 다른.
[오후 1:44:26]  : 근데 제가 조금 여쭤보고 싶은 게 어 이 겔티케이션이 있는데 이 클라이언트는 파이브 코딩을 못하던데요. 이 너무 프로그래밍 지식이 없어서.
[오후 1:44:32]  : 아무.
[오후 1:44:41]  : 선발 그, 그러니까 칼리지 조르면 애들이 있잖아요. 그 사람도 바이오포에다 써 쓰라고 쓰게 돼있어.
[오후 1:45:01]  : 한 1년 전에 유타블에서 커피를 쌓여서 그거 그 교수가 그러더라고. 이게 미국에서 엄청 좋은 거죠.
[오후 1:45:04]  : 예, 왜 애들이 어 일자리가 없냐고? 아 여기도 그래요.
[오후 1:45:12]  : 아 윤아성 그랬더니 네 그 그 그 월마트가 하는 소리가 뭐냐하면.
[오후 1:45:14]  : 파이브 코너 가르치라고?
[오후 1:45:22]  : 파이브 코닝 가르쳐라 맞습니다.
[오후 1:45:25]  : 예티케이션 하는 거 가르치고 그렇지?
[오후 1:45:25]  : 예.
[오후 1:45:26]  : 그러니까 경기가 난 파이브 코인은 누구나 더 할 수 있어?
[오후 1:45:29]  : 이거는 메이저리 필요가 없어 커피가 싼 제품이 필요가 없어요.
[오후 1:45:31]  : 네.
[오후 1:45:34]  : 파이브 코링 한 사람이 아니거든요. 그거 브리펴케시알바.
[오후 1:45:40]  : 그러면 이거 맞습니다. 처음부터도 목표를 시니어로 되는 거 목표로 해야 되는 거.
[오후 1:45:43]  : 주니어는 마요 코딩이 하니까.
[오후 1:45:44] Gichan Lee: 어.
[오후 1:45:49]  : 근데 진짜 심의회가 될려면?
[오후 1:45:53]  : 그거 풀 경험이에요. 경험이죠. 엄청 많아요. 그렇지 그러니까 결국에는 이런 걸 딱을 보면 경험이.
[오후 1:46:03]  : 겨우 니가 어디서 일하고 원내대표는 니가 씨미얼로 해가지고 보리펴져 있고 했다 하면 그건 누구나 다 됐다.
[오후 1:46:05]  : 어.
[오후 1:46:10]  : 그럼 2일 을 제가 아주 좋은 경험이라 생각하고 계속 하고 지금 미국에서도 하니까 잘하고 있는 거네요?
[오후 1:46:16]  : 지금 미국에서 그 시니어랩을?
[오후 1:46:18]  : 필요 없어요.
[오후 1:46:21]  : 근데 여기서는 베리케이션이 좀 재밌는 게.
[오후 1:46:34]  : 코딩으로 이제 로직이 잘 되는지도 보는데 클라이언트가 원하는 걸 잘 만드는지도 볼륨은 클라이언트가 말했던 그 내추럴 랭귀지를 잘 이해하는 게 더 필요하더라고요.
[오후 1:46:36]  : 애들한테 시키면 되는 거예요?
[오후 1:46:38]  : 네가 그 이해해가지고 파이브 코닝 가지고 코드만 정리를 해라고 나는 그.
[오후 1:46:50]  : 코드만 보는 게 좋을 것 같습니다. 근데 이걸 탁 알려드리는 클라이언트가 보기에는 내가 원하는 건 이게 아니었다. 이렇게 하라고 파이브 코리아의 중요한데 가서 얘기해라. 맞아요. 맞아요.
[오후 1:46:56]  : 나는 코드만 주면 코드가 되게 맞는지? 아는지 맞습니다. 맞습니다. 예.
[오후 1:47:01]  : 그건 사과할 것 같고 뭐 그거는 또 그 출연을 하면?
[오후 1:47:02]  : 고 사람님이 스파이크를 합니다.
[오후 1:47:17]  : 쿨할 때 맡겨요. 파이코드 사진이 뭐라도 근데 주니어가 제대로 못하던 못해가지고 그 그래서 제가 이제 그 팀 리더로서 제가 준 의원한테 일을 줍니다. 이런 식으로 바이브 코딩해라 예.
[오후 1:47:23]  : 그래서 그 한눈에 있겠지?
[오후 1:47:25]  : 네, 맞습니다. 잘하는 애 잘 있습니다. 그럼 그 잘하는 애 맞습니다.
[오후 1:47:33]  : 그리고 코딩만 해놓고 그걸 어떻게 버려봤겠습니까?
[오후 1:47:39]  : 음, 맞습니다. 그래서 이 클라이언트는 제대로 만들지 않은 거는 무조건 미제.
[오후 1:47:46]  : 무조건 자율돼야 되더라고요. 그러니까 그거는 커뮤니케이션은 그거는 그러니까 시리얼은 그냥.
[오후 1:47:50]  : 코드 그거 프리 패키지?
[오후 1:48:02]  : 나 아니면 프로그램 매니저 프로그램 매니저나 그 작업시켜 가지고 니가 이 바이크 해라고 해놓고 하나에 덴마크 코인에 갖다 붙습니다 해가지고.
[오후 1:48:08]  : 근데 이게 지금 이제 40명 되는 회사인데 그렇게 PM 없고 저랑 티몬 둘이가 다인데요.
[오후 1:48:12]  : 개발자 두 명하고 저 팀장.
[오후 1:48:13]  : 티맨이죠?
[오후 1:48:18]  : 하고 팀 멤버 이렇게 3명.
[오후 1:48:19]  : P.
[오후 1:48:20]  : M2 없어요? 제가 다 해야 돼요.
[오후 1:48:22]  : 알고 하는 게 뭐냐 하면 예.
[오후 1:48:25]  : 코딩 쓴 사람이 보리 패키지를 할 수는 없잖아?
[오후 1:48:29]  : 맞습니다.
[오후 1:48:31]  : 그치 브리핑께서 하고 코인하고 세프를 깨지면서 맞습니다. 그래서 이제 팀 멤버가 하고.
[오후 1:48:34]  : 팀 리더인 제가 벨비케이션하고 지금 그렇게 하고 있습니다.
[오후 1:48:38]  : 그렇지 그러면?
[오후 1:48:41]  : 결국에는 그.
[오후 1:48:48]  : 주리한 사람, 그 사람이 리스판스 그 사람이 그 그라이드만 나가 얘기하든지.
[오후 1:48:52]  : 원영 니가 코닝에 관여를 할 수.
[오후 1:48:57]  : 시니가 코리아 관여를 하지 뭐 그냥?
[오후 1:49:01]  : 내가 코딩을 니가 하게 되면 이런 거 이런 거 보겠다고 이렇게 말만 해주지.
[오후 1:49:09]  : 근데 클라이언트가 이렇게 일을 맡기면 그 주니어가 일을 잘 못하던데요. 그래서 제가 다 뭐라고 해야 되는데요.
[오후 1:49:13]  : 클래한테 이걸 원하는데 왜 이거 했어 이렇게?
[오후 1:49:16]  : 제가 안 하면 일 이 진행이 안 되던데?
[오후 1:49:20]  : 그거 그걸.
[오후 1:49:29]  : 수밖에 없지 사람이 없으니까 사람이.
[오후 1:49:34]  : 왜냐하면 그 보통 어떤 큰 회사 보면 프로그램 매니저들이 있습니다. 그렇지 그 사람들이 다.
[오후 1:49:45]  : 클라이디 얘기하고 아니다. 코딩하고 그 사람이 다 그 그 시너하고 다 얘기하고 그 사람이 다 깨가지고 책임감도 다 하고 있습니다.
[오후 1:49:47]  : 그 사람 그렇지 그 사람들이 그래서 제가 제가 PM 도 지금 하고 있는 상황은?
[오후 1:49:52]  : 그래서 PM2 있는 거라고 봅니다. 예 근데 그래서 PM 도 해야 되고 ebuation 도 해야 되는데.
[오후 1:49:59]  : 좀 일 이 많은데 그만큼 그러면 이게 제가 중요한 일을 하는 게 아닌가 그런 생각을 드는데요. 어떻게 보시나요?
[오후 1:50:05]  : PM 도 해야 되고 시니어 소프트웨어 디벨로프트 해야 되고 그게 아닐까?
[오후 1:50:08]  : 작은 회사니까요.
[오후 1:50:13]  : 어쩔 수 없이 하는 건데 이 생각에는.
[오후 1:50:16]  : 프로그램 패즈.
[오후 1:50:19]  : 마이크로소프트 내가 이랬었던 필요 없는 사람이야?
[오후 1:50:21]  : 어 어, 왜요?
[오후 1:50:23]  : 내일 바뀌어.
[오후 1:50:25]  : 사람이요?
[오후 1:50:35]  : 그 사람도 왜 바뀌지 그 사람들? 그 상황 프로그램 매니저는 그 타임을 자체가 필요합니다. 전부 다 전부 다. 마이크로소프트 앉아서 다 하는 겁니다. 프로그램 매니저.
[오후 1:50:39]  : 코링하는 거 없어 코링이 힘이 들어.
[오후 1:50:45]  : 파이브 코닝 안 될 때는 괜찮았죠? 파이브 할 때는 힘이 들어가?
[오후 1:50:48]  : 그래, 그래서 코딩을 안 할라.
[오후 1:50:51]  : 그래 나이가 든든한 줄서 더 안 할라 그래?
